机审一级标签,POC,低效策略数,低效策略日均进审量,低效策略日均完审量,低效策略日均打标量,低效策略打标率
国家安全,杜衡,85,70026,69709,3304,0.04742938462961902
领导人,宋诗慧,88,68851,69041,3200,0.04852818032580429
党和国家形象负面,李中涛,44,24787,24696,1786,0.0724251759286655
指令舆情相关,张发奇,41,20828,20657,1024,0.0495012410434131
偏激社会情绪和涉外言论,张发奇,39,10482,10484,761,0.07237014283943305
色情性化,刘小楷,6,7178,7178,483,0.06824114863762441
违法违规,叶健,7,3591,3596,242,0.07262958280657396
侵犯未成年权益,张宇轩,6,2070,2054,194,0.09451283121218444
不良行为或争议价值观,陈雅静,6,927,926,63,0.08118657298985169
短期策略迁移,陈思乔,2,42,42,2,0.03741496598639456
