severity_level,severity_priority,reason,data_days,total_review_in_cnt,total_review_done_cnt,total_label_cnt,avg_review_in_cnt,avg_review_done_cnt,avg_label_cnt,label_rate,prev_avg_review_in_cnt,prev_label_rate,growth_rate,daily_delta,hit_rule_ids,hit_conditions
notice,3,title_leader_table_8578,7,64444.0,63895.0,4433.0,9206.285714285714,9127.857142857143,633.2857142857143,0.0693794506612411,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,national_security_regular_OCR_words_review,7,54797.0,54253.0,3160.0,7828.142857142857,7750.428571428572,451.42857142857144,0.058245626969937146,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,fence_recall,7,47757.0,47663.0,1652.0,6822.428571428572,6809.0,236.0,0.03466000881186665,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,core_protection_gov_user,7,33209.0,33208.0,4.0,4744.142857142857,4744.0,0.5714285714285714,0.00012045290291496025,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,sqds_sqdl_key_word_high_acc_review,7,32407.0,32395.0,2336.0,4629.571428571428,4627.857142857143,333.7142857142857,0.07210989350208366,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,general_fever_review_high_value,7,31042.0,31122.0,2162.0,4434.571428571428,4446.0,308.85714285714283,0.06946854315275368,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,leader_antidirt,7,30675.0,30311.0,2344.0,4382.142857142857,4330.142857142857,334.85714285714283,0.07733166177295371,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,LS_regular_BASE_OCR_words_review,7,30003.0,29625.0,503.0,4286.142857142857,4232.142857142857,71.85714285714286,0.0169789029535865,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,national_security_tibetan_risk_user_list_for_dailai_birthday_temp_manual,3,11593.0,11591.0,475.0,3864.3333333333335,3863.6666666666665,158.33333333333334,0.04098007074454318,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,model_llm_gandalf_8class_p2_ls_manual,7,26386.0,26462.0,1291.0,3769.4285714285716,3780.285714285714,184.42857142857142,0.04878693976267856,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,national_security_regular_title_words_review,7,23535.0,23314.0,2235.0,3362.1428571428573,3330.5714285714284,319.2857142857143,0.0958651454061937,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,national_security_tibetan_risk_user_list_manual,7,22634.0,22763.0,1513.0,3233.4285714285716,3251.8571428571427,216.14285714285714,0.06646751306945482,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,leader_nlp_ocr_antidirt,7,22938.0,22690.0,1806.0,3276.8571428571427,3241.4285714285716,258.0,0.07959453503746143,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,leader_recall_xi,7,19823.0,20063.0,1389.0,2831.8571428571427,2866.1428571428573,198.42857142857142,0.06923191945372079,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,pentax_fans_19_n2,7,18513.0,18497.0,1251.0,2644.714285714286,2642.4285714285716,178.71428571428572,0.06763258906849759,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,is_govB_media,7,18191.0,18185.0,37.0,2598.714285714286,2597.8571428571427,5.285714285714286,0.0020346439373109706,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,ocr_leader_table_500recall,7,17775.0,17945.0,691.0,2539.285714285714,2563.5714285714284,98.71428571428571,0.0385065477848983,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,xueshanshizi_eva_33346_v6_2_jinshen,7,17956.0,17737.0,1139.0,2565.1428571428573,2533.8571428571427,162.71428571428572,0.06421604555449062,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,ZL_antidirt_10518_aigc_ocr_aigc_review,7,17785.0,17659.0,1646.0,2540.714285714286,2522.714285714286,235.14285714285714,0.09321026105668498,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,LS_duty_boy_26_review,7,15940.0,16109.0,1137.0,2277.1428571428573,2301.285714285714,162.42857142857142,0.07058166242473152,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,LS_keywords_LLM,7,16031.0,15884.0,836.0,2290.1428571428573,2269.1428571428573,119.42857142857143,0.05263157894736842,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,model_llm_safe_mind_leader_beyond_rule_leader_name_chinese_charactor_zl_friend_see_review,4,9363.0,8963.0,389.0,2340.75,2240.75,97.25,0.04340064710476403,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
