机审一级标签,策略ID,策略名称,送审原因,POC,日均进审量,日均完审量,日均打标量,打标率,命中原因
领导人,10003788046,【送人审】N1-title词表,title_leader_table_8578,宋诗慧,9190.285714285714,9107.714285714286,621.1428571428571,0.06819964237538037,近7天打标率<10%且进审量>100，纳入观察
党和国家形象负面,10012612012,【送审】党政综合ocr词表,party_state_military_gov_8871_ocr_antidirt,李中涛,8369.57142857143,8302.285714285714,792.2857142857143,0.09542982999518206,近7天打标率<10%且进审量>100，纳入观察
国家安全,10013031733,【人审】国家安全-常规词表-OCR,national_security_regular_OCR_words_review,杜衡,8175.142857142857,8098.428571428572,435.42857142857144,0.053767044752950306,近7天打标率<10%且进审量>100，纳入观察
指令舆情相关,10008330225,【ZL送人审】指令地理条件命中召回-300vv,fence_recall,张发奇,6427.571428571428,6394.285714285715,209.85714285714286,0.03281948168007149,近7天打标率<10%且进审量>100，纳入观察
领导人,10006128216,核心政务号|政务号白名单,core_protection_gov_user,宋诗慧,4796.428571428572,4796.857142857143,0.5714285714285714,0.00011912561796414319,近7天打标率<10%且进审量>100，纳入观察
领导人,10005107063,【送审】领导人漫画-周朱江胡温,cartoon_leader_60_180,宋诗慧,4798.0,4613.0,209.0,0.045306741816605246,近7天打标率<10%且进审量>100，纳入观察
色情性化,10013833877,色情低俗-色情导流-词表-高准机审,sqds_sqdl_key_word_high_acc_review,刘小楷,4526.857142857143,4539.0,304.42857142857144,0.06706952443898907,近7天打标率<10%且进审量>100，纳入观察
领导人,15811696,【送审】领导人标题敏感词-旧,leader_antidirt,宋诗慧,4335.428571428572,4294.0,317.2857142857143,0.07389047840841041,近7天打标率<10%且进审量>100，纳入观察
国家安全,10012811198,【人审-LS风险】BASE_OCR_LS常规词表_8883,LS_regular_BASE_OCR_words_review,杜衡,4205.0,4149.714285714285,69.57142857142857,0.016765353896998073,近7天打标率<10%且进审量>100，纳入观察
国家安全,10033554719,识别_gandalf策略替换_时政8分类p2LS,model_llm_gandalf_8class_p2_ls_manual,杜衡,3904.5714285714284,3912.5714285714284,192.42857142857142,0.049182123557762525,近7天打标率<10%且进审量>100，纳入观察
