数据周期,对照周期,机审一级标签,当前7天完审量,当前7天打标量,当前7天打标率,前7天完审量,前7天打标量,前7天打标率,环比百分点,环比相对变化,备注
2026-07-04~2026-07-10,2026-06-27~2026-07-03,领导人,1051279,197608,0.18796913093479467,1267709,277546,0.21893510261424348,-0.03096597167944881,-0.14143904430898796,量大下滑
2026-07-04~2026-07-10,2026-06-27~2026-07-03,空/未映射标签,792460,134000,0.16909370819978295,816044,126839,0.15543156986633075,0.0136621383334522,0.08789809139289703,需看映射
2026-07-04~2026-07-10,2026-06-27~2026-07-03,国家安全,738766,100907,0.1365885814994193,719855,99787,0.13862097227913955,-0.0020323907797202556,-0.01466149563305365,最低位
2026-07-04~2026-07-10,2026-06-27~2026-07-03,党和国家形象负面,558250,124286,0.22263502015226153,613177,129424,0.2110711915156635,0.011563828636598023,0.05478639009691607,改善
2026-07-04~2026-07-10,2026-06-27~2026-07-03,指令舆情相关,514091,100971,0.19640686182018358,628166,115761,0.18428409051110695,0.01212277130907663,0.06578305959811534,改善
2026-07-04~2026-07-10,2026-06-27~2026-07-03,侵犯未成年权益,448483,204501,0.4559838388523088,424707,177505,0.41794696108140433,0.038036877770904476,0.09100886311623632,较好
2026-07-04~2026-07-10,2026-06-27~2026-07-03,色情性化,437627,232950,0.5323026230100062,432598,226715,0.5240777812195155,0.008224841790490656,0.015693933391626832,最高
2026-07-04~2026-07-10,2026-06-27~2026-07-03,违法违规,313986,137691,0.438525921537903,322271,141390,0.4387301370585625,-0.0002042155206595231,-0.00046546955271564586,稳定
2026-07-04~2026-07-10,2026-06-27~2026-07-03,偏激社会情绪和涉外言论,290644,78016,0.2684246019184982,244500,48668,0.19905112474437628,0.06937347717412193,0.3485209001617657,提升明显
2026-07-04~2026-07-10,2026-06-27~2026-07-03,指令临时管控,93645,22450,0.23973517005713066,75218,16946,0.22529181844771198,0.014443351609418675,0.06410952563184551,改善
2026-07-04~2026-07-10,2026-06-27~2026-07-03,不良行为或争议价值观,74935,28073,0.3746313471675452,86271,33523,0.38857785350813134,-0.01394650634058614,-0.03589115080716842,小幅下滑
2026-07-04~2026-07-10,2026-06-27~2026-07-03,短期策略迁移,47705,11934,0.2501624567655382,45376,10990,0.24219851904090267,0.00796393772463555,0.032881859708194974,稳定
2026-07-04~2026-07-10,2026-06-27~2026-07-03,引人不适,39747,17446,0.4389262082672906,47524,21436,0.45105630839154953,-0.012130100124258913,-0.02689265153504761,小幅下滑
2026-07-04~2026-07-10,2026-06-27~2026-07-03,危险行为,32871,8410,0.255848620364455,44573,14021,0.31456262759966797,-0.05871400723521297,-0.18665283820662917,下滑明显
